age,workclass,fnlwgt,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
29,2,227890,10,Divorced,Machine-op-inspct,Not-in-family,Black,Male,0,0,40,United-States,<=50K
25,2,195994,2,Never-married,Priv-house-serv,Not-in-family,White,Female,0,0,40,Guatemala,<=50K
42,2,249332,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
18,1,152171,7,Never-married,Protective-serv,Own-child,White,Male,0,0,10,United-States,<=50K
50,1,226497,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,52,United-States,>50K
40,2,141583,6,Never-married,Other-service,Unmarried,Black,Female,0,0,40,United-States,<=50K
28,2,96020,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
34,2,236861,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,45,United-States,<=50K
32,2,194981,9,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,36,United-States,<=50K
43,1,174491,9,Divorced,Tech-support,Not-in-family,Black,Female,0,0,40,United-States,<=50K
24,2,440138,9,Never-married,Priv-house-serv,Not-in-family,White,Female,0,0,45,England,<=50K
59,4,148526,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
29,2,81057,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
32,2,402089,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,2,United-States,<=50K
41,2,175398,9,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,45,United-States,<=50K
44,2,57600,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,38,United-States,<=50K
37,4,50096,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,30,United-States,<=50K
36,2,93225,7,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
33,2,213226,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,<=50K
37,2,136028,11,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
34,2,287737,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,1485,40,United-States,>50K
28,2,398220,3,Never-married,Craft-repair,Other-relative,White,Male,0,0,40,Mexico,<=50K
62,4,134768,8,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
19,2,208506,10,Never-married,Exec-managerial,Own-child,White,Female,0,0,28,United-States,<=50K
46,1,367251,10,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,<=50K
21,2,107960,10,Never-married,Transport-moving,Own-child,Asian-Pac-Islander,Male,0,0,20,China,<=50K
36,2,65382,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,<=50K
50,4,32372,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,30,United-States,<=50K
34,2,349148,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
28,2,207473,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,El-Salvador,<=50K
31,0,469263,9,Divorced,Craft-repair,Unmarried,Black,Male,0,0,50,United-States,<=50K
44,2,182616,11,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,<=50K
29,2,260346,9,Separated,Other-service,Not-in-family,White,Female,0,0,25,United-States,<=50K
44,2,207578,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,35,United-States,>50K
25,2,34803,13,Never-married,Exec-managerial,Own-child,White,Female,0,0,20,United-States,<=50K
25,4,195000,10,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
49,2,47403,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
33,2,222221,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,7298,0,45,United-States,>50K
62,1,106069,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
34,2,229732,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
19,2,29526,9,Never-married,Other-service,Own-child,White,Female,0,0,32,United-States,<=50K
39,2,165799,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
66,2,80621,10,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
44,2,67874,10,Divorced,Sales,Unmarried,White,Male,0,625,50,United-States,<=50K
35,5,225385,9,Divorced,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,<=50K
38,1,37931,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,<=50K
31,2,257148,13,Widowed,Prof-specialty,Own-child,White,Male,0,0,35,United-States,<=50K
22,2,55614,9,Never-married,Handlers-cleaners,Unmarried,White,Male,0,0,40,United-States,<=50K
40,2,139193,9,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,1980,48,United-States,<=50K
29,2,264166,11,Divorced,Other-service,Unmarried,White,Female,0,0,45,Columbia,<=50K
51,4,156802,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,3103,0,60,United-States,<=50K
38,5,168223,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
36,2,199947,10,Divorced,Machine-op-inspct,Own-child,White,Female,0,0,30,United-States,<=50K
52,2,189728,9,Separated,Priv-house-serv,Not-in-family,White,Female,0,0,50,United-States,<=50K
49,2,28171,14,Married-civ-spouse,Protective-serv,Husband,White,Male,15024,0,78,United-States,>50K
26,2,198986,9,Never-married,Craft-repair,Other-relative,White,Male,0,0,40,United-States,<=50K
54,2,236157,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1887,40,United-States,>50K
22,2,236427,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,20,United-States,<=50K
44,2,403782,11,Divorced,Sales,Not-in-family,White,Male,0,0,45,United-States,<=50K
35,2,340428,12,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,35,United-States,<=50K
32,2,302845,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,48,United-States,<=50K
70,4,139889,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,2653,0,70,United-States,<=50K
34,4,196512,9,Divorced,Exec-managerial,Unmarried,White,Female,0,2472,35,United-States,<=50K
51,5,230095,9,Divorced,Exec-managerial,Unmarried,White,Female,0,0,38,United-States,<=50K
49,3,213354,14,Separated,Exec-managerial,Not-in-family,White,Male,0,0,70,United-States,<=50K
25,5,230200,13,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,United-States,<=50K
25,2,306908,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,<=50K
58,2,32365,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,>50K
50,2,92968,13,Never-married,Sales,Unmarried,White,Female,0,0,32,United-States,<=50K
53,2,53833,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,32,United-States,<=50K
53,1,140359,1,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,35,United-States,<=50K
41,2,223934,12,Divorced,Adm-clerical,Unmarried,White,Female,0,0,38,United-States,<=50K
47,2,190139,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
44,2,313022,11,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,40,United-States,>50K
61,2,176839,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,50,United-States,>50K
45,1,224474,13,Divorced,Prof-specialty,Unmarried,White,Female,4934,0,50,United-States,<=50K
34,2,46492,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,<=50K
30,2,339773,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,45,United-States,<=50K
28,2,66893,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,1564,50,United-States,<=50K
26,2,71009,13,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,0,0,40,Philippines,<=50K
37,2,108913,9,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K
17,2,160049,6,Never-married,Other-service,Own-child,White,Female,0,0,12,United-States,<=50K
26,2,195327,9,Never-married,Sales,Own-child,White,Male,0,0,40,United-States,<=50K
64,1,237379,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,3471,0,40,United-States,<=50K
61,2,187135,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,56,United-States,<=50K
24,2,271379,10,Never-married,Sales,Not-in-family,White,Female,0,0,25,United-States,<=50K
62,1,103344,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
19,2,89734,10,Never-married,Other-service,Other-relative,Amer-Indian-Eskimo,Male,0,0,42,United-States,<=50K
32,2,34437,9,Never-married,Transport-moving,Own-child,White,Male,0,0,40,United-States,<=50K
33,2,251120,13,Married-civ-spouse,Sales,Husband,White,Male,7688,0,50,United-States,>50K
19,2,340567,2,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,55,Mexico,<=50K
56,2,89922,9,Married-civ-spouse,Transport-moving,Husband,White,Male,3103,0,45,United-States,<=50K
43,2,178780,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K
42,4,83953,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,70,United-States,<=50K
61,4,39128,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,35,United-States,<=50K
19,2,331433,9,Never-married,Protective-serv,Not-in-family,White,Male,0,0,32,United-States,<=50K
57,2,141570,14,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,1977,40,United-States,>50K
34,4,173201,14,Never-married,Prof-specialty,Own-child,White,Male,0,0,50,Cuba,<=50K
25,2,221757,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
21,2,156687,10,Never-married,Sales,Own-child,Asian-Pac-Islander,Male,0,0,30,India,<=50K
22,2,216181,7,Never-married,Craft-repair,Own-child,White,Male,0,0,45,United-States,<=50K
47,2,193285,9,Married-civ-spouse,Other-service,Wife,Black,Female,5013,0,40,United-States,<=50K
42,2,331651,14,Never-married,Prof-specialty,Not-in-family,White,Female,8614,0,50,United-States,>50K
52,0,57855,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,>50K
36,2,588739,13,Divorced,Sales,Not-in-family,White,Female,0,0,40,India,<=50K
40,2,168294,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
19,2,198668,4,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
29,1,128091,9,Never-married,Transport-moving,Unmarried,White,Female,0,0,40,United-States,<=50K
26,2,130931,9,Never-married,Adm-clerical,Own-child,Black,Female,0,0,40,United-States,<=50K
35,2,178649,13,Divorced,Prof-specialty,Unmarried,Asian-Pac-Islander,Female,0,0,36,Philippines,<=50K
46,4,224108,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,50,United-States,<=50K
22,2,193089,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,43,United-States,<=50K
58,2,188982,9,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,20,United-States,<=50K
57,3,412952,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
55,1,88856,4,Never-married,Other-service,Unmarried,Black,Female,0,0,40,United-States,<=50K
17,2,130125,6,Never-married,Other-service,Own-child,Amer-Indian-Eskimo,Female,1055,0,20,United-States,<=50K
